codgeo;libgeo;an;med_disp
01329;Rossillon;2020;20210
01330;Ruffieu;2020;22700
01331;Saint-Alban;2020;23580
01332;Saint-André-de-Bâgé;2020;24000
01333;Saint-André-de-Corcy;2020;26050
01334;Saint-André-d'Huiriat;2020;24000
01335;Saint-André-le-Bouchoux;2020;24370
01336;Saint-André-sur-Vieux-Jonc;2020;23550
01337;Saint-Bénigne;2020;22680
01338;Groslée-Saint-Benoit;2020;22130
01339;Saint-Bernard;2020;30630
01342;Sainte-Croix;2020;27970
01343;Saint-Cyr-sur-Menthon;2020;23000
01344;Saint-Denis-lès-Bourg;2020;24960
01345;Saint-Denis-en-Bugey;2020;22670
01346;Saint-Didier-d'Aussiat;2020;22760
01347;Saint-Didier-de-Formans;2020;27160
01348;Saint-Didier-sur-Chalaronne;2020;23020
01349;Saint-Éloi;2020;26070
01350;Saint-Étienne-du-Bois;2020;23860
01351;Saint-Étienne-sur-Chalaronne;2020;22740
01352;Saint-Étienne-sur-Reyssouze;2020;21350
01353;Sainte-Euphémie;2020;26670
01354;Saint-Genis-Pouilly;2020;30150
01355;Saint-Genis-sur-Menthon;2020;22910
01356;Saint-Georges-sur-Renon;2020;24080
01357;Saint-Germain-de-Joux;2020;22320
01358;Saint-Germain-les-Paroisses;2020;23770
01359;Saint-Germain-sur-Renon;2020;25760
01360;Saint-Jean-de-Gonville;2020;39050
01361;Saint-Jean-de-Niost;2020;27560
01362;Saint-Jean-de-Thurigneux;2020;27460
01363;Saint-Jean-le-Vieux;2020;23970
01364;Saint-Jean-sur-Reyssouze;2020;22310
01365;Saint-Jean-sur-Veyle;2020;23590
01366;Sainte-Julie;2020;24540
01367;Saint-Julien-sur-Reyssouze;2020;21380
01368;Saint-Julien-sur-Veyle;2020;22850
01369;Saint-Just;2020;26340
01370;Saint-Laurent-sur-Saône;2020;19270
01371;Saint-Marcel;2020;25060
01372;Saint-Martin-de-Bavel;2020;24820
01373;Saint-Martin-du-Frêne;2020;24310
01374;Saint-Martin-du-Mont;2020;25360
01375;Saint-Martin-le-Châtel;2020;24350
01376;Saint-Maurice-de-Beynost;2020;23150
01378;Saint-Maurice-de-Gourdans;2020;26920
01379;Saint-Maurice-de-Rémens;2020;23190
01380;Saint-Nizier-le-Bouchoux;2020;22120
01381;Saint-Nizier-le-Désert;2020;23670
01382;Sainte-Olive;2020;26110
01383;Saint-Paul-de-Varax;2020;22760
01384;Saint-Rambert-en-Bugey;2020;19670
01385;Saint-Rémy;2020;26340
01386;Saint-Sorlin-en-Bugey;2020;25850
01387;Saint-Sulpice;2020;23220
01388;Saint-Trivier-de-Courtes;2020;20620
01389;Saint-Trivier-sur-Moignans;2020;23690
01390;Saint-Vulbas;2020;23860
01391;Salavre;2020;23080
01392;Samognat;2020;25700
01393;Sandrans;2020;24110
01396;Sault-Brénaz;2020;20910
01397;Sauverny;2020;39410
01398;Savigneux;2020;25580
01399;Ségny;2020;41380
01400;Seillonnaz;2020;22250
01401;Sergy;2020;41060
01402;Sermoyer;2020;22150
01403;Serrières-de-Briord;2020;21850
01404;Serrières-sur-Ain;2020;23150
01405;Servas;2020;22200
01406;Servignat;2020;21910
01407;Seyssel;2020;23070
01408;Simandre-sur-Suran;2020;23160
01410;Sonthonnax-la-Montagne;2020;26250
01411;Souclin;2020;22480
01412;Sulignat;2020;23860
01415;Talissieu;2020;23550
01416;Tenay;2020;19690
01418;Thil;2020;29390
01419;Thoiry;2020;37000
01420;Thoissey;2020;19300
01421;Torcieu;2020;22120
01422;Tossiat;2020;25000
01423;Toussieux;2020;26820
01424;Tramoyes;2020;29750
01425;La Tranclière;2020;24690
01426;Val-Revermont;2020;23360
01427;Trévoux;2020;22820
01428;Valeins;2020;25070
01429;Vandeins;2020;23580
01430;Varambon;2020;22720
01431;Vaux-en-Bugey;2020;23880
01432;Verjon;2020;22530
01433;Vernoux;2020;20220
01434;Versailleux;2020;25090
01435;Versonnex;2020;37620
01436;Vesancy;2020;39640
01437;Vescours;2020;21030
01439;Vésines;2020;
01441;Vieu-d'Izenave;2020;22500
01443;Villars-les-Dombes;2020;23880
01444;Villebois;2020;22040
01445;Villemotier;2020;23250
01446;Villeneuve;2020;25610
01447;Villereversure;2020;22220
01448;Villes;2020;30760
01449;Villette-sur-Ain;2020;25080
01450;Villieu-Loyes-Mollon;2020;25820
01451;Viriat;2020;24660
01452;Virieu-le-Grand;2020;20230
01453;Arvière-en-Valromey;2020;22540
01454;Virignin;2020;22670
01456;Vongnes;2020;
01457;Vonnas;2020;21320
02001;Abbécourt;2020;20600
02002;Achery;2020;21150
02003;Acy;2020;22450
02004;Agnicourt-et-Séchelles;2020;18660
02005;Aguilcourt;2020;23590
02006;Aisonville-et-Bernoville;2020;22140
02007;Aizelles;2020;21650
02008;Aizy-Jouy;2020;20900
02009;Alaincourt;2020;22020
02010;Allemant;2020;21040
02011;Ambleny;2020;23420
02012;Ambrief;2020;
02013;Amifontaine;2020;22590
02014;Amigny-Rouy;2020;22440
02015;Ancienville;2020;
02016;Andelain;2020;20340
02017;Anguilcourt-le-Sart;2020;20330
02018;Anizy-le-Grand;2020;20110
02019;Annois;2020;20150
02020;Any-Martin-Rieux;2020;19350
02021;Archon;2020;
02022;Arcy-Sainte-Restitue;2020;22340
02023;Armentières-sur-Ourcq;2020;21990
02024;Arrancy;2020;
02025;Artemps;2020;23220
02027;Assis-sur-Serre;2020;19980
02028;Athies-sous-Laon;2020;22010
02029;Attilly;2020;23720
02030;Aubencheul-aux-Bois;2020;21120
02031;Aubenton;2020;17910
02032;Aubigny-aux-Kaisnes;2020;20150
02033;Aubigny-en-Laonnois;2020;26090
02034;Audignicourt;2020;21540
02035;Audigny;2020;16860
02036;Augy;2020;
02037;Aulnois-sous-Laon;2020;21890
02038;Les Autels;2020;
02039;Autremencourt;2020;20270
02040;Autreppes;2020;19440
02041;Autreville;2020;23320
02042;Azy-sur-Marne;2020;23170
02043;Bagneux;2020;
02044;Bancigny;2020;
02046;Barenton-Bugny;2020;21850
02047;Barenton-Cel;2020;23880
02048;Barenton-sur-Serre;2020;21310
02049;Barisis-aux-Bois;2020;23210
02050;Barzy-en-Thiérache;2020;19980
02051;Barzy-sur-Marne;2020;24720
02052;Bassoles-Aulers;2020;22210
02053;Vallées en Champagne;2020;25410
02054;Bazoches-et-Saint-Thibaut;2020;22320
02055;Beaumé;2020;
02056;Beaumont-en-Beine;2020;21760
02057;Beaurevoir;2020;18700
02058;Beaurieux;2020;19340
02059;Beautor;2020;17010
02060;Beauvois-en-Vermandois;2020;21900
02061;Becquigny;2020;19130
02062;Belleau;2020;25020
02063;Bellenglise;2020;20900
02064;Belleu;2020;19970
02065;Bellicourt;2020;20370
02066;Benay;2020;22790
02067;Bergues-sur-Sambre;2020;22010
02068;Berlancourt;2020;
02069;Berlise;2020;
02070;Bernot;2020;21220
02071;Berny-Rivière;2020;22700
02072;Berrieux;2020;24960
02073;Berry-au-Bac;2020;21740
02074;Bertaucourt-Epourdon;2020;20940
02075;Berthenicourt;2020;22410
02076;Bertricourt;2020;25350
02078;Besmé;2020;20530
02079;Besmont;2020;18570
02080;Besny-et-Loizy;2020;25840
02081;Béthancourt-en-Vaux;2020;22790
02082;Beugneux;2020;21270
02083;Beuvardes;2020;22620
02084;Bézu-le-Guéry;2020;24480
02085;Bézu-Saint-Germain;2020;22860
02086;Bichancourt;2020;21890
02087;Bieuxy;2020;
02088;Bièvres;2020;
02089;Billy-sur-Aisne;2020;21600
02090;Billy-sur-Ourcq;2020;22130
02091;Blanzy-lès-Fismes;2020;
02093;Blérancourt;2020;19120
02094;Blesmes;2020;24840
02095;Bohain-en-Vermandois;2020;15620
02096;Bois-lès-Pargny;2020;22610
02097;Boncourt;2020;18840
02098;Bonneil;2020;26230
02099;Bonnesvalyn;2020;22600
02100;Bony;2020;20630
02101;Bosmont-sur-Serre;2020;20840
02102;Bouconville-Vauclair;2020;21620
02103;Boué;2020;20250
02104;Bouffignereux;2020;
02105;Bouresches;2020;23360
02106;Bourg-et-Comin;2020;19110
02107;Bourguignon-sous-Coucy;2020;
02108;Bourguignon-sous-Montbavin;2020;23920
02109;La Bouteille;2020;21390
02110;Braine;2020;19820
02111;Brancourt-en-Laonnois;2020;22420
02112;Brancourt-le-Grand;2020;21170
02114;Brasles;2020;22200
02115;Braye-en-Laonnois;2020;21690
02116;Braye-en-Thiérache;2020;19010
02117;Bray-Saint-Christophe;2020;
02118;Braye;2020;22210
02119;Brécy;2020;23140
02120;Brenelle;2020;21120
02121;Breny;2020;20230
02122;Brie;2020;
02123;Brissay-Choigny;2020;22060
02124;Brissy-Hamégicourt;2020;20860
02125;Brumetz;2020;22480
02126;Brunehamel;2020;16650
02127;Bruyères-sur-Fère;2020;20220
02128;Bruyères-et-Montbérault;2020;23550
02129;Bruys;2020;
02130;Bucilly;2020;19720
02131;Bucy-le-Long;2020;22870
02132;Bucy-lès-Cerny;2020;21930
02133;Bucy-lès-Pierrepont;2020;19700
02134;Buire;2020;19780
02135;Buironfosse;2020;18500
02136;Burelles;2020;20840
02137;Bussiares;2020;23310
02138;Buzancy;2020;25790
02139;Caillouël-Crépigny;2020;22860
02140;Camelin;2020;20120
02141;La Capelle;2020;18260
02142;Castres;2020;25250
02143;Le Catelet;2020;19540
02144;Caulaincourt;2020;23770
02145;Caumont;2020;23820
02146;Celles-lès-Condé;2020;
02148;Celles-sur-Aisne;2020;22140
02149;Cerizy;2020;
02150;Cerny-en-Laonnois;2020;
02151;Cerny-lès-Bucy;2020;26700
02152;Cerseuil;2020;
02153;Cessières-Suzy;2020;23230
02154;Chacrise;2020;22370
02155;Chaillevois;2020;24570
02156;Chalandry;2020;20970
02157;Chambry;2020;22270
02158;Chamouille;2020;20500
02159;Champs;2020;20010
02160;Chaourse;2020;19220
02162;La Chapelle-sur-Chézy;2020;21880
02163;Charly-sur-Marne;2020;20430
02164;Le Charmel;2020;21420
02165;Charmes;2020;20240
02166;Chartèves;2020;23210
02167;Chassemy;2020;22100
02168;Château-Thierry;2020;18830
02169;Châtillon-lès-Sons;2020;
02170;Châtillon-sur-Oise;2020;23950
02171;Chaudardes;2020;
02172;Chaudun;2020;21850
02173;Chauny;2020;18210
02174;Chavignon;2020;21560
02175;Chavigny;2020;20860
02176;Chavonne;2020;20160
02177;Chérêt;2020;24000
02178;Chermizy-Ailles;2020;22540
02179;Chéry-Chartreuve;2020;22150
02180;Chéry-lès-Pouilly;2020;21760
02181;Chéry-lès-Rozoy;2020;
02182;Chevennes;2020;18780
02183;Chevregny;2020;25090
02184;Chevresis-Monceau;2020;20800
02185;Chézy-en-Orxois;2020;22810
02186;Chézy-sur-Marne;2020;23620
02187;Chierry;2020;24250
02188;Chigny;2020;19920
02189;Chivres-en-Laonnois;2020;19570
02190;Chivres-Val;2020;21820
02191;Chivy-lès-Étouvelles;2020;22410
02192;Chouy;2020;22250
02193;Cierges;2020;
02194;Cilly;2020;19670
02195;Ciry-Salsogne;2020;23340
02196;Clacy-et-Thierret;2020;23840
02197;Clairfontaine;2020;22520
02198;Clamecy;2020;22810
02199;Clastres;2020;21370
02200;Clermont-les-Fermes;2020;18030
02201;Cœuvres-et-Valsery;2020;23310
02203;Coincy;2020;19320
02204;Coingt;2020;
02205;Colligis-Crandelain;2020;21320
02206;Colonfay;2020;
02207;Commenchon;2020;22970
02208;Concevreux;2020;23740
02209;Condé-en-Brie;2020;19980
